New Village Created!
Year: 01, Villagers: 500, Body Count: 00.
Year: 02, Villagers: 620, Body Count: 00.
Year: 03, Villagers: 758, Body Count: 00.
Year: 04, Villagers: 886, Body Count: 00.
Year: 05, Villagers: 969, Body Count: 00.
Year: 06, Villagers: 1018, Body Count: 00.
Year: 07, Villagers: 1046, Body Count: 00.
Year: 08, Villagers: 1063, Body Count: 00.
Year: 09, Villagers: 1077, Body Count: 00.
Year: 10, Villagers: 1087, Body Count: 00.
Year: 11, Villagers: 1094, Body Count: 00.
Year: 12, Villagers: 1101, Body Count: 00.
Year: 13, Villagers: 1103, Body Count: 00.
Year: 14, Villagers: 1103, Body Count: 00.
Year: 15, Villagers: 1104, Body Count: 00.
Year: 16, Villagers: 1110, Body Count: 00.
Year: 17, Villagers: 1130, Body Count: 00.
Year: 18, Villagers: 1164, Body Count: 00.
Year: 19, Villagers: 1173, Body Count: 55.
Year: 20, Villagers: 1200, Body Count: 54.
Year: 21, Villagers: 1267, Body Count: 51.
Year: 22, Villagers: 1362, Body Count: 40.
Year: 23, Villagers: 1472, Body Count: 44.
Year: 24, Villagers: 1585, Body Count: 47.
Year: 25, Villagers: 1702, Body Count: 47.
Year: 26, Villagers: 1804, Body Count: 40.
Year: 27, Villagers: 1877, Body Count: 57.
Year: 28, Villagers: 1940, Body Count: 65.
Year: 29, Villagers: 2056, Body Count: 00.
Year: 30, Villagers: 2170, Body Count: 00.
Year: 31, Villagers: 2276, Body Count: 00.
Year: 32, Villagers: 2364, Body Count: 00.
Year: 33, Villagers: 2453, Body Count: 00.
Year: 34, Villagers: 2547, Body Count: 00.
Year: 35, Villagers: 2648, Body Count: 00.
Year: 36, Villagers: 2779, Body Count: 00.
Year: 37, Villagers: 2938, Body Count: 00.
Year: 38, Villagers: 3132, Body Count: 00.
Year: 39, Villagers: 3377, Body Count: 00.
Year: 40, Villagers: 3710, Body Count: 00.
Year: 41, Villagers: 4065, Body Count: 00.
Year: 42, Villagers: 4464, Body Count: 00.
Year: 43, Villagers: 4899, Body Count: 00.
Year: 44, Villagers: 5000, Body Count: 00.
Year: 45, Villagers: 4880, Body Count: 120.
Year: 46, Villagers: 4862, Body Count: 138.
Year: 47, Villagers: 4872, Body Count: 128.
Year: 48, Villagers: 4917, Body Count: 83.
Year: 49, Villagers: 4951, Body Count: 49.
Year: 50, Villagers: 4972, Body Count: 28.
Year: 51, Villagers: 4983, Body Count: 17.
Year: 52, Villagers: 4986, Body Count: 14.
Year: 53, Villagers: 4990, Body Count: 10.
Year: 54, Villagers: 4993, Body Count: 07.
Year: 55, Villagers: 4993, Body Count: 07.
Year: 56, Villagers: 4998, Body Count: 02.
Year: 57, Villagers: 5000, Body Count: 00.
Year: 58, Villagers: 4999, Body Count: 01.
Year: 59, Villagers: 4994, Body Count: 06.
Year: 60, Villagers: 4980, Body Count: 20.
Year: 61, Villagers: 4966, Body Count: 34.
Year: 62, Villagers: 4936, Body Count: 64.
Year: 63, Villagers: 4917, Body Count: 81.
Year: 64, Villagers: 4882, Body Count: 118.
Year: 65, Villagers: 4849, Body Count: 135.
Year: 66, Villagers: 4814, Body Count: 154.
Year: 67, Villagers: 4798, Body Count: 160.
Year: 68, Villagers: 4802, Body Count: 164.
Year: 69, Villagers: 4853, Body Count: 142.
Year: 70, Villagers: 4870, Body Count: 130.
Year: 71, Villagers: 4872, Body Count: 128.
Year: 72, Villagers: 4884, Body Count: 116.
Year: 73, Villagers: 4886, Body Count: 114.
Year: 74, Villagers: 4894, Body Count: 106.
Year: 75, Villagers: 4912, Body Count: 88.
Year: 76, Villagers: 4911, Body Count: 89.
Year: 77, Villagers: 4906, Body Count: 94.
Year: 78, Villagers: 4899, Body Count: 101.
Year: 79, Villagers: 4869, Body Count: 131.
Year: 80, Villagers: 4841, Body Count: 159.
Year: 81, Villagers: 4806, Body Count: 194.
Year: 82, Villagers: 4744, Body Count: 245.
Year: 83, Villagers: 4607, Body Count: 333.
Year: 84, Villagers: 4454, Body Count: 355.
Year: 85, Villagers: 4259, Body Count: 399.
Year: 86, Villagers: 4029, Body Count: 435.
Year: 87, Villagers: 4157, Body Count: 101.
Year: 88, Villagers: 4427, Body Count: 00.
Year: 89, Villagers: 4625, Body Count: 120.
Year: 90, Villagers: 4862, Body Count: 138.
Year: 91, Villagers: 4872, Body Count: 128.
Year: 92, Villagers: 4917, Body Count: 83.
Year: 93, Villagers: 4951, Body Count: 49.
Year: 94, Villagers: 4972, Body Count: 28.
Year: 95, Villagers: 4983, Body Count: 17.
Year: 96, Villagers: 4986, Body Count: 14.
Year: 97, Villagers: 4990, Body Count: 10.
Year: 98, Villagers: 4993, Body Count: 07.
Year: 99, Villagers: 4993, Body Count: 07.
Year: 100, Villagers: 4998, Body Count: 02.
Year: 101, Villagers: 5000, Body Count: 00.
Year: 102, Villagers: 4999, Body Count: 01.
Year: 103, Villagers: 4994, Body Count: 06.
Year: 104, Villagers: 4980, Body Count: 20.
Year: 105, Villagers: 4966, Body Count: 34.
Year: 106, Villagers: 4938, Body Count: 62.
Year: 107, Villagers: 4912, Body Count: 83.
Year: 108, Villagers: 4885, Body Count: 102.
Year: 109, Villagers: 4854, Body Count: 119.
Year: 110, Villagers: 4814, Body Count: 144.
Year: 111, Villagers: 4762, Body Count: 168.
Year: 112, Villagers: 4694, Body Count: 193.
Year: 113, Villagers: 4685, Body Count: 147.
Year: 114, Villagers: 4706, Body Count: 130.
Year: 115, Villagers: 4740, Body Count: 128.
Year: 116, Villagers: 4795, Body Count: 116.
